t,p,q,r,wy,theta,thetadot,t_mot_p,wz,psi,psidot,t_mot_y,pitchrate_cmds,yawrate_cmds,acc_pitch,acc_yaw
0,-0.00196203501242349,-0.00196203501242349,-0.00196203501242349,-0.00392407002484697,0.174532925199433,21.5806122284745,0.0720554696247092,-0.00392407002484697,-0,0,0.00562081627343819,0.0481986820120224,0,31.5280683113844,0
0.000833333333333333,-0.0031622251246767,-0.0031622251246767,-0.0031622251246767,0.0197306032716346,0.174532925199433,51.7999435320072,0.430788111460276,-0.0063244502493534,-8.72664625997165e-05,-0.0107903061142372,0.00905910767571028,0.322658979582511,0,386.299140363337,0
0.00166666666666667,0.00124871128999984,0.00124871128999984,0.00124871128999984,0.347791445895133,0.174707458124632,59.4705582847513,-0.546960196552491,0.00249742257999969,0,-0.0151096656517664,-0.00357729433736638,-0.115918116512947,0,-585.228565045574,0
0.0025,0.00125172504753635,0.00125172504753635,0.00125172504753635,-0.135864045148979,0.174794724587232,51.8975079266708,0.395552393593701,0.00250345009507269,0,-0.0038245170702578,-0.00358592811673224,0.17376648644156,0,366.948757134212,0
0.00333333333333333,0.00303472890767861,0.00303472890767861,0.00303472890767861,0.170960972327962,0.174794724587232,36.6199241119581,-0.146960815913725,0.00606945781535723,8.72664625997165e-05,0.0145973361119864,-0.00869385791881655,0.026524199516686,0,-176.523983326436,0
0.00416666666666667,-0.000813308927814067,-0.000813308927814067,-0.000813308927814067,0.0173726457275726,0.174881991049832,19.819021233356,-0.0806992072898945,-0.00162661785562813,-0,0.0227598369090188,0.00232995845020281,-0.0524398901745233,0,-118.383636690171,0
0.005,0.000135551848551227,0.000135551848551227,0.000135551848551227,-0.0785641504202922,0.174881991049832,5.5570437576913,-0.0668085950205833,0.000271103697102453,0,0.0122284688911533,-0.000388327441359091,-0.124350699174583,0,-99.8130391378886,0
0.00583333333333333,0.00231057399986536,0.00231057399986536,0.00231057399986536,-0.156694973714341,0.174794724587232,-4.2475164081262,0.225531037053807,0.00462114799973072,0,0.00332195988665298,-0.00661930692224731,0.0186315861571664,0,200.427221708621,0
0.00666666666666667,-0.00324929964076162,-0.00324929964076162,-0.00324929964076162,-0.00216888527691675,0.174620191662033,-9.34995947930584,0.1431581283292,-0.00649859928152324,-8.72664625997165e-05,-0.0135539092205524,0.00930855778945077,0.0780178562363155,0,98.8265755656192,0
0.0075,-0.00311742588197804,-0.00311742588197804,-0.00311742588197804,0.0797656535842104,0.174707458124632,-10.5278446150985,-0.0105979526127197,-0.00623485176395608,-8.72664625997165e-05,-0.0317842816710432,0.0089307672991095,0.0340842658507825,0,-56.1926772237282,0
0.00833333333333333,0.000207346464870985,0.000207346464870985,0.000207346464870985,0.0399711710723869,0.174794724587232,-9.05074477404287,0.0782887777131308,0.000414692929741971,0,-0.0254981329583815,-0.000594003866703252,0.0691000044787981,0,43.1372523600403,0
0.00916666666666667,0.00119484810596329,0.00119484810596329,0.00119484810596329,0.0775924207765728,0.174794724587232,-6.27888262638226,0.031561022593376,0.00238969621192659,0,-0.00564074106206386,-0.00342298768154485,0.0671448979157303,0,-1.48401550243441,0
0.01,-0.0034369150256622,-0.0034369150256622,-0.0034369150256622,0.067097298505853,0.174881991049832,-3.29315740462924,-0.0739865312598717,-0.0068738300513244,-8.72664625997165e-05,-0.00322696799748268,0.00984603627577705,-0.0187402894056011,0,-120.288392406069,0
0.0108333333333333,-0.000813912300248819,-0.000813912300248819,-0.000813912300248819,-0.0270691157730803,0.174881991049832,-0.793103582949911,0.290092866894775,-0.00162782460049764,-0,-0.00109817790683947,0.0023316869849021,0.169435483092584,0,253.289582246522,0
0.0116666666666667,-0.00302401165434907,-0.00302401165434907,-0.00302401165434907,0.177833024907332,0.174969257512432,0.897178009076626,-0.269795409385438,-0.00604802330869814,-8.72664625997165e-05,0.000419054870726184,0.00866315524962878,-0.0698922848591199,0,-317.129861006898,0
0.0125,-0.000576056569914388,-0.000576056569914388,-0.000576056569914388,-0.079362474592217,0.174969257512432,1.74804668492507,-0.282684682092406,-0.00115211313982878,-0,0.00125273761818533,0.00165028051084386,-0.286979051253272,0,-317.773176104194,0
0.0133333333333333,0.00130391951342839,0.00130391951342839,0.00130391951342839,-0.338207473064556,0.174881991049832,1.8929507220823,0.125341785761048,0.00260783902685677,0,0.0122903997273738,-0.00373545424720992,-0.209086960374994,0,100.926105519266,0
0.0141666666666667,0.000621174150089105,0.000621174150089105,0.000621174150089105,-0.2561432681977,0.174620191662033,1.54752216193633,0.67342147359457,0.00124234830017821,0,0.0164505866465739,-0.00177953285713658,0.245009798233008,0,645.431109392557,0
0.015,0.00300501362149749,0.00300501362149749,0.00300501362149749,0.282031733444152,0.174620191662033,0.986739047146017,-0.35191931006713,0.00601002724299497,8.72664625997165e-05,0.0263731642007552,-0.00860872989455645,-0.0580912887604949,0,-383.750300186488,0
0.0158333333333333,0.00241670080030612,0.00241670080030612,0.00241670080030612,-0.0362983408768278,0.174707458124632,0.454103554834631,-0.10126918087976,0.00483340160061225,0,0.0269547060878351,-0.00692333781017146,-0.129773400519388,0,-128.461995084141,0
0.0166666666666667,0.000187998332966366,0.000187998332966366,0.000187998332966366,-0.146914948705947,0.174620191662033,0.0375226496455809,0.050323100537311,0.000375996665932732,0,0.0109616820492203,-0.000538575551723397,-0.113368303021141,0,18.8844347789357,0
