t,p,q,r,wy,theta,thetadot,t_mot_p,wz,psi,psidot,t_mot_y,pitchrate_cmds,yawrate_cmds,acc_pitch,acc_yaw
0,0,0,0,0,0.174532925199433,21.5806122284745,0.066434653351271,0,0,0,0,0.0481986820120224,0,31.5280683113844,0
0.000833333333333333,0,0,0,0.026055053520988,0.174532925199433,51.7999435320072,0.421729003784566,0,0,0,0,0.322658979582511,0,386.299140363337,0
0.00166666666666667,0,0,0,0.345294023315133,0.174707458124632,59.4705582847513,-0.543382902215125,0,0,0,0,-0.115918116512947,0,-585.228565045574,0
0.0025,0,0,0,-0.138367495244052,0.174794724587232,51.8975079266708,0.399138321710433,0,0,0,0,0.17376648644156,0,366.948757134212,0
0.00333333333333333,0,0,0,0.164891514512604,0.174794724587232,36.6199241119581,-0.138266957994909,0,0,0,0,0.026524199516686,0,-176.523983326436,0
0.00416666666666667,0,0,0,0.0189992635832007,0.174881991049832,19.819021233356,-0.0830291657400973,0,0,0,0,-0.0524398901745233,0,-118.383636690171,0
0.005,0,0,0,-0.0788352541173947,0.174881991049832,5.5570437576913,-0.0664202675792242,0,0,0,0,-0.124350699174583,0,-99.8130391378886,0
0.00583333333333333,0,0,0,-0.161316121714072,0.174707458124632,-4.25830671424043,0.232150343976054,0,0,0,0,0.0186315861571664,0,200.427221708621,0
0.00666666666666667,0,0,0,0.00432971400460649,0.174707458124632,-9.35427883884337,0.133849570539749,0,0,0,0,0.0780178562363155,0,98.8265755656192,0
0.0075,0,0,0,0.0860005053481665,0.174707458124632,-10.516559466517,-0.0195287199118292,0,0,0,0,0.0340842658507825,0,-56.1926772237282,0
0.00833333333333333,0,0,0,0.0395564781426449,0.174794724587232,-9.04311322697485,0.0788827815798341,0,0,0,0,0.0691000044787981,0,43.1372523600403,0
0.00916666666666667,0,0,0,0.0752027245646462,0.174794724587232,-6.27503948512278,0.0349840102749209,0,0,0,0,0.0671448979157303,0,-1.48401550243441,0
0.01,0,0,0,0.0739711285571774,0.174881991049832,-3.29240362406563,-0.0838325675356487,0,0,0,0,-0.0187402894056011,0,-120.288392406069,0
0.0108333333333333,0,0,0,-0.0254412911725827,0.174881991049832,-0.794378544886428,0.287761179909873,0,0,0,0,0.169435483092584,0,253.289582246522,0
0.0116666666666667,0,0,0,0.183881048216031,0.174969257512432,0.894935587343198,-0.278458564635067,0,0,0,0,-0.0698922848591199,0,-317.129861006898,0
0.0125,0,0,0,-0.0782103614523882,0.174969257512432,1.74567975869006,-0.28433496260325,0,0,0,0,-0.286979051253272,0,-317.773176104194,0
0.0133333333333333,0,0,0,-0.340815312091412,0.174794724587232,1.88020581370026,0.129077240008258,0,0,0,0,-0.209086960374994,0,100.926105519266,0
